No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
85,ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,32.73B,23.48,15.04,2.13,5.33,3.01,-,-,2.18%,-,3.75,-25.00%,-1.32%,-0.60%,11.00%,13.60%,500.30%,9.70%,371.91M,370.23M,0.10%,-33.06%,90.10%,-0.12%,2.95%,3.31,-,-,5.30%,1.60,1.20,0.60,0.60,67.50%,-,-,11.28%,-4.17%,-8.86%,-2.51%,-3.29%,-1.16%,1.29,2.59,3.75%,2.95%,5.35%,-2.66%,-5.30%,-12.76%,14.85%,-15.05%,14.85%,55.93,4.56%,0.54%,2.10,3.30M,1.11,88.00,5.12%,"3,669,670",Nov 20/b
86,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,12.84M,-,-,-,-,-,64.18,-,-,-,-0.44,-171.20%,-,-,-,-,-578.20%,-,6.72M,3.17M,18.60%,-,-,-,0.10%,0.18,-,269.10%,-,0.10,0.10,-,-,-,-,-,-4.50%,-29.26%,-52.25%,-,-,-52.84%,-,0.26,7.91%,10.18%,-20.89%,-30.37%,-36.86%,-50.90%,3.24%,-56.59%,3.24%,35.05,-3.05%,3.99%,-,18.60K,1.07,1.91,0.82%,"19,851",-
87,ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,28.12B,16.21,13.42,-,0.44,1.47,-,-,2.75%,38.10%,3.01,10.30%,4.01%,17.90%,-8.80%,5.40%,110.20%,14.20%,577.09M,558.14M,0.20%,-9.98%,78.90%,0.10%,1.71%,2.86,4.90%,10.60%,4.20%,1.60,0.90,0.32,0.41,6.00%,2.50%,3.10%,1.71%,-3.43%,-2.46%,11.08%,19.94%,21.56%,0.94,1.01,2.58%,2.13%,-0.66%,-1.86%,5.68%,-6.42%,5.57%,-6.42%,26.25%,49.22,2.85%,0.25%,2.10,3.33M,1.35,48.72,3.11%,"4,586,228",Nov 06/b
88,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,269.75M,-,-,-,10.62,4.57,-,-,-,-,-1.69,-19.00%,45.30%,-6.60%,-,82.70%,37.20%,38.20%,48.78M,29.61M,0.50%,176.70%,56.50%,-0.03%,6.66%,9.00,-62.40%,-189.70%,-48.60%,10.60,8.90,0.84,0.84,-77.40%,-,-,-1.43%,-9.64%,-11.24%,12.17%,126.64%,72.27%,1.94,0.37,6.67%,6.96%,0.18%,-6.94%,8.97%,-20.55%,22.89%,-20.55%,175.12%,45.78,2.79%,0.19%,1.70,219.20K,1.05,5.53,2.98%,"232,245",Nov 02
89,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,131.90M,-,-,-,9.92,3.57,38.79,-,-,-,-0.69,52.20%,50.00%,13.90%,-,-,-53.30%,2.60%,48.67M,45.11M,4.61%,0.00%,16.10%,76.69%,9.87%,4.47,-67.30%,-88.90%,-33.70%,0.80,0.50,0.09,0.19,37.50%,-,-,-5.24%,-14.78%,-15.31%,-27.73%,-46.34%,-38.41%,0.58,0.23,7.49%,6.80%,-6.20%,-10.11%,-23.04%,-36.24%,20.44%,-48.38%,23.18%,43.23,4.23%,1.56%,2.00,994.77K,0.29,2.71,5.86%,"295,485",Nov 09
90,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,476.01M,-,-,-,44.49,3.22,2.34,-,-,-,-4.92,-43.40%,24.70%,-41.50%,27.90%,-56.70%,-35.70%,378150.00%,28.05M,25.91M,0.40%,-4.40%,-,-2.01%,28.37%,13.28,-54.20%,-104.90%,-51.10%,9.90,9.70,0.78,0.78,98.90%,-,-,-4.34%,-15.07%,-34.35%,-42.53%,-36.25%,-49.93%,1.42,1.18,7.46%,6.84%,-3.66%,-14.01%,-34.77%,-27.35%,12.91%,-61.43%,12.91%,41.38,1.74%,0.79%,1.90,553.58K,1.10,16.97,2.54%,"682,915",Nov 01/a
91,ADNT,Adient plc,Basic Materials,Industrial Metals & Minerals,Ireland,3.03B,348.92,4.85,54.52,0.18,0.79,8.02,6.95,3.39%,-,0.09,156.60%,19.94%,26.80%,6.40%,-4.10%,-73.10%,12.20%,93.40M,93.15M,0.30%,0.00%,-,0.48%,10.20%,5.07,0.00%,0.00%,7.40%,1.00,0.80,0.89,0.90,6.00%,-0.30%,0.00%,10.00%,-12.01%,-31.13%,-40.99%,-61.79%,-58.77%,-,1.85,6.33%,5.91%,3.32%,-14.15%,-37.49%,-31.05%,14.91%,-61.97%,14.91%,47.69,5.49%,1.12%,3.00,1.87M,1.02,32.45,6.67%,"1,906,719",Nov 09/b
92,ADOM,"ADOMANI, Inc.",Consumer Goods,Auto Parts,USA,30.63M,-,-,-,19.14,3.13,3.93,-,-,-,-0.30,-109.70%,35.30%,-,-,-,-,-,73.04M,50.67M,7.60%,1.29%,2.20%,0.12%,2.55%,2.78,-,-,-490.90%,3.60,3.60,0.00,0.16,-2.90%,-,-,-9.24%,-21.33%,-49.54%,-23.76%,-90.78%,-90.47%,-,0.05,15.97%,11.63%,-14.92%,-26.39%,-56.71%,-42.10%,18.92%,-93.77%,18.92%,34.77,2.29%,2.42%,2.00,466.17K,1.15,0.42,4.77%,"543,563",Oct 25/a
93,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,63.51B,38.53,23.76,2.42,4.77,17.84,29.22,64.76,1.96%,65.30%,3.66,-4.90%,14.48%,9.70%,15.90%,7.10%,-41.50%,8.30%,450.72M,436.86M,0.10%,-14.56%,79.80%,0.06%,0.82%,1.88,4.00%,42.20%,30.10%,1.10,1.10,0.58,0.58,47.90%,16.40%,12.20%,0.30%,-7.05%,4.96%,12.40%,22.11%,20.24%,0.96,3.92,3.26%,2.71%,-1.20%,-3.14%,7.81%,-8.21%,5.84%,-8.21%,30.95%,46.83,-1.98%,-0.23%,2.50,1.90M,1.32,140.91,-2.20%,"2,559,318",Oct 31/b
94,ADRA,Invesco BLDRS Asia 50 ADR,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.99,-,-,-,-,-,-,-,-,-,-,3.15%,-5.47%,-8.71%,-14.61%,-5.03%,-12.01%,-,0.50,1.48%,1.12%,0.95%,-4.10%,-10.66%,-11.74%,5.45%,-19.37%,5.45%,49.55,1.70%,0.71%,-,0.94K,1.14,30.40,2.42%,"1,078",-
95,ADRD,Invesco BLDRS Developed Markets 100 ADR,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,3.16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.14,-,-,-,-,-,-,-,-,-,-,3.11%,-5.48%,-7.17%,-8.02%,-6.74%,-9.77%,-,0.24,0.88%,0.81%,-0.09%,-3.05%,-7.22%,-6.89%,4.43%,-16.12%,4.43%,47.66,0.17%,1.02%,-,12.95K,1.01,21.23,1.19%,"12,905",-
96,ADRE,Invesco BLDRS Emerging Markets 50 ADR,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.56,-,-,-,-,-,-,-,-,-,-,3.23%,-4.56%,-8.48%,-11.90%,-10.37%,-10.45%,-,0.89,2.77%,1.93%,1.37%,-2.10%,-9.42%,-7.25%,7.80%,-21.05%,7.80%,52.01,1.64%,1.44%,-,11.20K,0.46,38.62,3.10%,"5,173",-
97,ADRO,"Aduro BioTech, Inc.",Healthcare,Biotechnology,USA,350.83M,-,-,-,20.88,2.13,1.21,-,-,-,-1.21,13.20%,-0.80%,-52.30%,-1.10%,126.40%,-13.40%,-55.90%,73.55M,41.80M,1.30%,-19.13%,48.90%,-0.86%,13.50%,12.96,-22.30%,-44.50%,-38.60%,8.10,8.10,0.00,0.00,-,-,-,15.22%,-22.56%,-12.48%,-38.05%,-36.82%,-36.40%,2.69,0.58,10.92%,9.62%,-13.19%,-22.49%,-31.39%,-41.11%,29.27%,-52.30%,29.27%,40.81,10.93%,1.42%,1.80,435.46K,0.96,4.77,12.50%,"417,116",Oct 30
98,ADRU,Invesco BLDRS Europe Select ADR,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,3.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.40,-,-,-,-,-,-,-,-,-,-,2.84%,-6.91%,-4.53%,-6.31%,-4.27%,-10.00%,-,0.26,0.61%,0.53%,-0.89%,-3.66%,-7.75%,-8.88%,3.73%,-16.38%,3.73%,46.50,0.00%,1.35%,-,3.01K,0.06,20.61,1.35%,196,-
99,ADS,Alliance Data Systems Corporation,Services,Business Services,USA,11.61B,12.99,8.30,0.99,1.48,5.41,3.37,4.69,1.10%,14.60%,15.98,76.40%,10.25%,14.50%,13.15%,16.20%,59.30%,4.50%,55.94M,53.44M,2.10%,18.79%,99.00%,0.23%,3.12%,3.42,2.80%,42.60%,4.70%,2.10,2.10,7.25,11.38,45.60%,21.30%,10.30%,2.40%,-12.44%,-8.82%,5.33%,-8.26%,-18.13%,1.72,6.22,2.93%,3.12%,-2.71%,-9.58%,-8.94%,-17.08%,6.28%,-25.44%,8.07%,41.40,0.44%,0.21%,2.20,487.25K,0.81,207.52,0.65%,"394,878",Oct 18/b
100,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,30.82B,-,42.39,-,13.75,-,26.35,-,-,-,-2.04,-4.40%,245.61%,-35.40%,-,-2.30%,72.60%,21.90%,227.91M,217.34M,0.20%,-10.22%,99.80%,0.66%,3.22%,3.23,-10.40%,320.00%,-41.40%,0.80,0.80,-,-,87.20%,-16.20%,-18.50%,4.02%,-12.68%,2.41%,4.46%,8.37%,29.00%,1.96,5.86,5.05%,4.52%,-0.30%,-6.91%,1.72%,-15.45%,12.76%,-15.45%,33.17%,48.01,4.02%,0.58%,1.90,2.17M,1.15,135.23,4.63%,"2,485,600",Aug 23/a
101,ADSW,"Advanced Disposal Services, Inc.",Industrial Goods,Waste Management,USA,2.19B,130.11,35.62,6.21,1.42,2.41,317.26,20.65,-,0.00%,0.19,94.90%,16.64%,55.10%,20.95%,22.90%,-,3.90%,88.56M,88.44M,0.20%,-99.20%,-,5.58%,1.66%,3.45,1.60%,6.50%,3.10%,0.70,0.70,2.04,2.10,-,6.90%,3.70%,-3.21%,-5.79%,1.48%,8.09%,0.77%,3.26%,-,0.74,4.05%,2.65%,-5.96%,-7.28%,1.70%,-11.49%,-1.83%,-11.49%,14.98%,35.47,-6.72%,-2.18%,1.90,425.75K,2.79,24.72,-8.75%,"1,189,600",Oct 31/a
102,ADT,ADT Inc.,Services,Security & Protection Services,USA,5.90B,18.29,7.00,1.13,1.33,1.24,17.12,8.38,1.81%,15.30%,0.42,158.80%,26.35%,-,16.15%,-,27.50%,6.00%,763.71M,740.59M,0.20%,-,-,2.25%,4.56%,12.77,2.00%,9.00%,7.10%,0.90,0.80,2.04,2.05,78.40%,6.10%,7.90%,3.07%,-12.37%,-13.36%,-4.46%,-,-37.69%,-,0.32,3.98%,4.12%,-1.47%,-9.14%,-15.24%,-21.54%,7.67%,-40.71%,11.40%,44.60,-0.39%,0.13%,1.90,2.64M,0.55,7.72,-0.26%,"1,445,367",Nov 07/a
103,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,662.61M,-,55.60,-,1.28,1.45,6.23,-,2.59%,264.80%,-0.21,2.00%,204.20%,-0.20%,2.30%,1.50%,-162.60%,-30.70%,47.67M,47.42M,0.68%,0.00%,99.00%,-0.84%,2.78%,4.16,1.00%,1.30%,5.50%,2.90,1.90,0.06,0.06,40.10%,3.00%,1.20%,2.81%,-22.86%,-13.93%,-6.40%,-33.81%,-28.17%,0.89,0.70,4.66%,5.22%,-9.57%,-16.87%,-12.31%,-27.98%,6.51%,-39.96%,6.51%,37.78,2.96%,0.45%,2.70,317.33K,1.01,13.90,3.42%,"323,573",Oct 16/a
104,ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,USA,896.12M,45.78,30.47,3.05,1.94,4.10,12.95,11.09,-,0.00%,1.45,20.90%,16.04%,8.10%,15.00%,11.70%,56.20%,26.60%,13.51M,12.84M,0.60%,-96.20%,88.60%,5.84%,2.92%,2.27,5.50%,8.80%,8.70%,3.10,3.10,0.53,0.55,26.80%,5.40%,3.40%,0.20%,1.01%,-3.94%,28.05%,91.15%,90.60%,-0.29,2.58,4.44%,3.95%,3.00%,-0.02%,20.57%,-8.57%,9.82%,-8.57%,114.31%,53.70,0.88%,0.38%,1.60,165.15K,0.57,66.33,1.27%,"95,015",Nov 05/a
105,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,282.60M,-,-,-,176.63,1.22,1.20,-,-,-,-1.02,66.40%,-9.80%,-65.50%,-,128.00%,-13.50%,0.00%,62.11M,58.65M,1.20%,0.00%,73.30%,-0.01%,4.69%,5.22,-28.60%,-30.60%,-26.50%,20.90,20.90,0.00,0.00,-,-,-,7.57%,-23.14%,0.00%,-14.55%,44.44%,30.00%,3.82,0.39,9.27%,9.15%,-5.25%,-19.33%,-23.25%,-41.10%,15.34%,-47.03%,59.65%,39.14,7.82%,0.48%,2.20,526.87K,1.13,4.55,8.33%,"681,834",Nov 07/a
106,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.57B,6.47,-,-,50.77,0.87,-,-,1.29%,-,2.40,-,-,0.00%,-,-,-74.40%,-1.40%,101.05M,97.75M,9.45%,-0.07%,20.69%,-,0.73%,4.15,-,-,-,-,-,-,-,-,-,-,1.57%,-6.45%,-3.00%,3.54%,7.31%,3.53%,-,0.27,2.13%,1.80%,-0.67%,-4.00%,-0.47%,-7.73%,5.43%,-7.73%,8.82%,45.65,0.98%,0.20%,-,171.02K,1.80,15.52,1.17%,"303,960",-
107,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,36.67M,-,-,-,5.47,0.93,0.93,-,-,-,-1.60,-11.00%,42.20%,14.30%,-,-,66.90%,-64.50%,62.74M,62.74M,1.40%,3.94%,23.90%,37.75%,4.93%,3.77,-91.50%,-165.20%,-173.30%,3.90,3.90,0.00,0.00,-,-,-,3.91%,-32.42%,-58.55%,-65.42%,-81.62%,-79.42%,2.49,0.06,14.11%,9.51%,-14.83%,-36.53%,-64.27%,-63.01%,23.53%,-83.68%,23.53%,30.56,2.71%,1.43%,2.30,821.04K,0.62,0.58,4.17%,"505,578",Dec 10/b
108,AE,"Adams Resources & Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,181.01M,23.55,-,-,0.12,1.16,1.43,8.79,2.12%,68.50%,1.76,-39.60%,-,-44.00%,-,-17.10%,-,43.50%,4.37M,2.14M,49.18%,0.00%,40.20%,-0.90%,0.65%,2.32,1.90%,3.70%,0.30%,1.80,1.70,0.01,0.01,1.90%,0.20%,0.40%,1.54%,-5.17%,1.52%,-15.88%,-4.76%,-4.78%,1.33,1.47,3.26%,3.88%,2.97%,-2.61%,-4.40%,-11.57%,15.67%,-18.12%,15.67%,51.56,1.02%,1.11%,-,6.04K,0.47,41.42,2.15%,"2,999",Nov 08/a
109,AEE,Ameren Corporation,Utilities,Electric Utilities,USA,16.02B,20.38,19.76,2.95,2.55,2.12,552.37,-,2.95%,71.30%,3.16,3.30%,0.09%,5.50%,6.90%,1.30%,22.70%,1.70%,248.93M,243.17M,0.10%,-4.60%,71.60%,0.18%,2.40%,3.62,2.40%,8.50%,6.60%,0.60,0.40,1.03,1.21,84.40%,23.30%,9.90%,-2.04%,1.04%,3.04%,9.25%,4.13%,9.09%,0.15,1.31,2.49%,2.03%,-1.15%,-0.27%,8.24%,-4.28%,3.70%,-4.28%,24.01%,46.50,-0.91%,0.56%,2.50,1.61M,1.06,64.35,-0.36%,"1,701,939",Oct 31/b
110,AEF,Aberdeen Emerging Markets Equit,Financial,Asset Management,United Kingdom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.41,-,-,-,-,-,-,-,-,-,-,4.75%,-1.93%,-6.50%,-16.53%,-13.85%,-15.57%,-,0.14,2.62%,2.12%,3.09%,-0.18%,-10.96%,-5.29%,7.99%,-21.79%,7.99%,56.27,3.44%,0.31%,-,148.78K,0.73,6.62,3.76%,"108,623",-
111,AEG,Aegon N.V.,Financial,Life Insurance,Netherlands,13.18B,6.15,7.35,0.15,0.25,0.47,1.21,-,5.35%,27.60%,1.00,393.70%,31.25%,9.90%,41.50%,4.30%,26.20%,10.30%,2.14B,2.08B,10.10%,0.00%,8.90%,-0.33%,0.33%,5.04,0.50%,7.60%,5.60%,-,-,0.63,0.00,-,3.50%,4.00%,4.05%,-4.49%,-2.99%,-12.23%,3.70%,-2.06%,1.18,0.13,1.85%,1.88%,0.46%,-0.02%,-5.10%,-9.40%,6.01%,-17.51%,6.38%,52.83,0.24%,1.23%,4.00,1.36M,0.85,6.17,1.48%,"1,166,244",Aug 16/b
112,AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,USA,597.52M,-,11.44,-,0.45,1.25,8.04,10.58,-,-,-2.37,-339.40%,20.95%,-28.20%,15.00%,6.00%,-26.40%,-5.50%,32.09M,31.18M,0.90%,-2.53%,97.80%,0.14%,3.83%,10.77,-7.30%,-16.30%,-5.50%,2.30,2.00,0.65,0.70,20.20%,-4.60%,-6.00%,-16.16%,-24.77%,-24.55%,-19.39%,-19.53%,-26.78%,1.82,1.07,5.98%,4.57%,-19.20%,-22.45%,-23.76%,-27.91%,-3.77%,-33.95%,-3.77%,26.70,-1.32%,-2.53%,2.60,110.74K,3.50,18.62,-3.82%,"374,781",Oct 30/a
113,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,44.48M,-,15.38,-,1.63,2.44,-,40.44,-,-,-0.05,106.70%,1200.00%,15.60%,20.00%,12.40%,-,-32.90%,22.24M,19.66M,3.20%,-17.84%,22.30%,0.92%,2.46%,8.43,-3.20%,-5.40%,3.90%,2.50,1.70,0.00,0.34,40.30%,-2.60%,-3.60%,2.04%,0.50%,-15.97%,-16.67%,-42.20%,-26.20%,0.57,0.11,4.00%,5.39%,0.53%,-11.12%,-17.03%,-25.09%,11.11%,-44.50%,11.11%,44.92,5.26%,-1.04%,2.00,57.35K,1.01,2.00,4.17%,"57,763",Sep 27/a
114,AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,1.88B,8.46,9.50,0.85,2.51,3.12,4.30,12.35,-,0.00%,5.57,78.00%,7.45%,59.00%,10.00%,8.20%,2.70%,18.10%,39.80M,38.54M,0.90%,-15.14%,96.20%,-0.66%,4.23%,3.82,19.00%,26.30%,40.60%,5.10,4.20,0.00,0.00,52.90%,29.70%,19.70%,4.71%,-10.28%,-22.10%,-24.64%,-42.52%,-30.17%,1.09,2.21,7.13%,4.65%,2.38%,-8.49%,-22.83%,-24.00%,16.55%,-46.07%,16.55%,47.43,8.35%,1.07%,2.40,426.97K,1.41,47.12,9.50%,"610,306",Oct 29/a
115,AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,2.93B,7.99,8.56,0.80,0.99,1.19,2.32,3.10,0.81%,7.10%,4.01,139.70%,4.82%,21.30%,10.00%,19.70%,244.10%,-16.40%,91.40M,87.18M,1.20%,0.00%,96.40%,-1.17%,2.64%,5.80,0.50%,12.40%,32.80%,-,-,0.30,0.30,-,2.70%,11.10%,3.16%,-10.61%,-9.65%,9.73%,8.54%,4.23%,2.50,1.02,3.10%,3.16%,-2.93%,-8.34%,-4.39%,-15.55%,5.95%,-16.95%,18.37%,40.39,1.88%,0.70%,2.60,396.30K,1.24,32.03,2.59%,"508,390",Nov 05/a
116,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,8.76B,85.17,58.72,17.73,3.95,1.75,14.36,104.74,1.19%,100.30%,0.44,49.10%,244.81%,-10.40%,4.81%,3.20%,-76.60%,-10.60%,236.34M,233.65M,0.20%,0.00%,78.10%,4.62%,3.01%,3.98,1.30%,2.10%,4.80%,2.90,1.90,0.35,0.35,47.60%,11.20%,4.60%,4.69%,6.04%,-10.83%,-13.31%,-16.29%,-19.77%,-0.58,1.47,3.80%,4.02%,2.72%,5.60%,-9.87%,-5.00%,15.13%,-25.60%,15.13%,59.13,2.29%,2.43%,2.00,1.77M,0.81,37.05,4.78%,"1,426,726",Oct 24/a
117,AEMD,"Aethlon Medical, Inc.",Technology,Scientific & Technical Instruments,USA,18.85M,-,-,-,62.82,3.66,3.09,-,-,-,-0.37,50.80%,3.80%,22.40%,-,-34.40%,69.10%,-,17.77M,16.75M,1.30%,0.00%,18.10%,-,7.59%,15.75,-96.30%,-123.40%,-75.50%,13.50,13.50,0.17,0.00,-,-,-,2.96%,-10.13%,-11.49%,-22.02%,8.79%,-6.15%,2.07,0.05,5.10%,5.33%,-2.11%,-1.86%,-17.58%,-14.68%,29.08%,-48.01%,34.14%,48.28,1.00%,0.96%,2.00,80.66K,0.20,1.06,1.97%,"16,116",Nov 01
118,AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,3.82B,15.83,13.48,1.09,0.96,3.10,10.52,17.90,2.50%,35.20%,1.39,-7.70%,9.15%,-4.10%,14.49%,1.80%,176.50%,14.20%,173.52M,167.40M,0.80%,-73.04%,91.30%,-0.05%,9.89%,3.79,14.30%,21.20%,16.00%,2.00,1.00,0.00,0.00,36.70%,8.90%,6.50%,-2.44%,-2.95%,-13.82%,9.50%,70.17%,17.13%,0.82,0.90,4.09%,3.77%,0.11%,-7.65%,-1.47%,-26.31%,6.22%,-26.31%,76.02%,42.85,-0.59%,-3.95%,2.40,4.37M,1.28,22.02,-4.51%,"5,572,748",Nov 28/b
119,AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,36.37B,18.93,17.65,3.42,2.28,1.89,38.18,35.36,3.67%,62.30%,3.86,206.90%,4.50%,8.10%,5.53%,0.60%,5.80%,5.60%,498.36M,492.85M,0.02%,-0.80%,73.90%,-0.59%,1.51%,2.91,3.00%,10.50%,6.30%,0.60,0.50,1.10,1.31,79.40%,18.00%,12.30%,-0.78%,3.92%,2.51%,5.16%,-1.41%,-0.82%,-0.02,1.45,2.08%,2.01%,0.46%,1.32%,5.79%,-4.05%,5.88%,-6.53%,16.37%,50.94,-0.65%,0.12%,2.00,2.55M,1.14,72.97,-0.53%,"2,902,428",Oct 25/b
120,AER,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,7.61B,7.52,7.43,2.35,1.62,0.86,4.76,-,-,0.00%,6.85,19.00%,4.00%,39.70%,3.20%,36.40%,1.80%,-4.30%,147.93M,123.45M,17.94%,0.00%,97.50%,0.43%,5.19%,5.77,2.50%,12.20%,5.30%,-,-,3.29,3.29,89.00%,44.00%,22.40%,3.67%,-10.08%,-10.44%,-5.02%,-2.65%,-2.19%,1.90,1.22,3.00%,2.35%,-1.94%,-6.80%,-4.72%,-11.18%,6.99%,-11.73%,6.99%,42.00,2.14%,0.60%,2.10,1.11M,1.00,51.46,2.76%,"1,140,414",Oct 30/b
121,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,2.49B,-,-,-,1038.76,11.16,8.71,-,-,-,-4.96,-20.80%,68.00%,24.20%,-,-,-71.70%,-,44.96M,41.23M,1.50%,-44.78%,-,13.19%,12.25%,11.24,-55.70%,-102.80%,-,10.30,10.10,0.64,0.64,97.60%,-,-,0.64%,-7.27%,-14.82%,9.15%,-11.21%,-7.20%,0.93,3.02,6.14%,5.40%,-0.34%,-4.41%,-5.09%,-13.70%,10.06%,-25.82%,17.84%,47.93,4.27%,0.00%,1.80,449.23K,1.45,55.45,4.27%,"650,331",Nov 07/a
122,AES,The AES Corporation,Utilities,Electric Utilities,USA,9.86B,34.68,11.27,4.03,0.93,2.94,4.94,-,3.53%,-,0.43,12.00%,8.37%,11.00%,8.60%,-9.30%,80.60%,-2.90%,668.96M,657.81M,0.20%,0.00%,-,1.10%,2.45%,2.43,-,-,-0.80%,1.30,1.20,5.55,5.92,23.90%,-,-,0.20%,1.45%,7.67%,19.55%,39.45%,36.10%,0.96,0.32,2.15%,2.15%,-0.16%,4.31%,17.06%,-4.22%,13.38%,-4.22%,49.42%,54.88,0.89%,0.21%,2.70,6.64M,0.63,14.74,1.10%,"4,213,985",Nov 06/b
123,AET,Aetna Inc.,Healthcare,Health Care Plans,USA,65.79B,18.35,16.22,1.87,1.08,3.77,8.83,30.97,1.00%,18.70%,10.91,-6.80%,9.93%,4.40%,9.79%,10.60%,2.20%,0.30%,328.71M,326.07M,0.10%,0.00%,87.10%,0.06%,1.20%,1.95,6.10%,21.60%,9.90%,-,-,0.45,0.47,-,8.70%,5.80%,2.08%,-1.68%,6.05%,16.18%,16.50%,10.95%,0.72,2.33,1.26%,1.17%,0.11%,-0.46%,7.41%,-3.15%,3.02%,-3.15%,19.93%,51.41,0.56%,0.31%,2.50,2.01M,0.89,200.14,0.88%,"1,820,597",Oct 30/b
124,AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment,USA,5.45M,6.02,-,-,0.18,1.09,10.90,-,-,-,0.10,66.00%,-,-26.20%,-,-2.70%,76.80%,61.50%,8.79M,5.39M,5.20%,0.00%,32.10%,-,3.67%,1.77,-11.50%,-52.70%,-9.60%,0.70,0.70,0.00,1.20,10.00%,-4.90%,-13.10%,3.32%,-19.49%,-49.64%,-11.44%,-61.20%,-58.67%,0.78,0.07,8.96%,11.41%,-7.80%,-20.20%,-40.40%,-42.33%,12.69%,-75.50%,12.69%,36.71,0.00%,1.96%,-,111.84K,0.19,0.62,1.96%,"21,075",Nov 13/b
125,AEY,"ADDvantage Technologies Group, Inc.",Services,Electronics Wholesale,USA,13.41M,-,-,-,0.27,0.35,6.38,-,-,-,-0.23,-133.10%,-,-16.00%,-,10.40%,-,-3.10%,10.08M,4.35M,1.50%,0.00%,8.00%,-0.25%,0.12%,0.40,-5.40%,-6.70%,0.60%,3.60,1.00,0.00,0.08,26.80%,-5.10%,-5.60%,2.31%,-3.62%,-8.90%,3.91%,-6.21%,-9.52%,0.62,0.04,2.36%,2.56%,-0.96%,-4.14%,-2.30%,-10.74%,2.31%,-42.92%,9.92%,45.90,-1.48%,0.75%,-,12.51K,0.44,1.33,-0.75%,"5,449",Nov 13/b
126,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,Canada,36.73M,28.31,-,-,1.46,3.76,-,19.33,-,0.00%,0.08,53.40%,-840.00%,60.50%,-,-14.80%,12.60%,0.00%,16.85M,16.38M,0.60%,0.00%,21.40%,6.50%,2.39%,1.07,6.10%,41.90%,699.80%,4.00,3.80,0.00,0.00,99.20%,20.50%,6.80%,63.91%,22.47%,10.94%,16.58%,15.34%,-7.63%,1.50,0.17,20.96%,10.06%,41.93%,31.46%,19.81%,-3.96%,68.99%,-32.92%,94.64%,73.94,11.79%,-10.55%,2.00,364.43K,8.06,2.18,0.00%,"2,631,066",Nov 07/a
